"","follower_count","following_count","like_count","retweet_count","Num_Syllables","Avg_Syllables","Avg_Words_in_Sentences","Flesh.Kincaid","Num_Big_words","Num_Long_Sentences","Num_Sentences","Num_Short_Sentences","Num_Urls","Num_words","Rate_Adv_adj","class","polarity","subjectibity"
"191",210973,263,1,5,22,1.7142857143,13,10.0985714286,2,0,1,0,1,14,0.0714285714,"real",0,0
"192",428743,852,5,1,52,2.2105263158,18,17.9042105263,10,0,1,0,1,19,0.1052631579,"real",0,0
"193",1113108,1736,5,4,24,1.9090909091,5,9.0822727273,3,0,2,1,1,11,0,"real",0,0.75
"194",4265003,518,39,6,39,2.1052631579,18,16.6621052632,9,0,1,0,1,19,0.1052631579,"real",0,0.1
"195",1113108,1736,14,2,19,2.1538461538,6,12.3603846154,4,0,2,0,1,13,0.1538461538,"real",0,0
"196",4265003,518,39,14,36,1.7083333333,23,13.9283333333,5,0,1,0,1,24,0.0416666667,"real",0,0
"197",4265003,518,57,9,44,2.2631578947,18,18.5252631579,9,0,1,0,1,19,0,"real",0,0
"198",428743,852,19,1,30,2.1052631579,9,12.9571052632,7,0,2,1,1,19,0.2105263158,"real",0.1,0.2
"199",12616791,61,18,3,52,2.3636363636,11,16.5909090909,8,0,2,0,1,22,0.1818181818,"real",0.0333333333333333,0.0666666666666667
"200",4265003,518,91,29,37,2.0526315789,18,16.0410526316,9,0,1,0,1,19,0.1578947368,"real",-0.275,0.75
"201",4265003,518,33,7,40,1.9411764706,4,8.9733823529,4,0,4,2,1,17,0,"real",0.25,0.25
"202",12616790,61,82,25,13,2.2727272727,9,15.5181818182,5,0,1,0,2,11,0.0909090909,"real",0.136363636363636,0.5
"203",1113108,1736,75,27,37,1.5333333333,7,5.4283333333,3,0,2,1,1,15,0.3333333333,"real",0,0
"204",4265003,518,17,6,30,2.3157894737,18,19.1463157895,7,0,1,0,1,19,0.1052631579,"real",0,0.25
"205",7041608,4594,290,71,35,2.0476190476,20,16.7619047619,8,0,1,0,1,21,0.0476190476,"real",0,0
"206",12616790,61,172,49,45,2.4444444444,8.5,16.7644444444,10,0,2,1,1,18,0.2777777778,"real",0,0
"207",428743,852,25,12,21,2.0833333333,5,11.3333333333,6,0,2,2,2,12,0.0833333333,"real",0,0
"208",1113108,1736,15,0,33,2.2727272727,7.6666666667,14.0881818182,7,0,3,2,1,22,0,"real",-0.15,0.75
"209",4265003,518,19,6,37,2.5,8.5,17.42,8,0,2,0,1,18,0.0555555556,"real",0,0.25
"210",1113108,1736,20,6,12,2.6,4.5,17.04,5,0,2,2,1,10,0,"real",0.5,0.6
"211",1113108,1736,6,1,28,1.9285714286,13,12.6271428571,6,0,1,0,1,14,0.0714285714,"real",0,0
"212",1113108,1736,18,8,40,1.9166666667,6,9.3666666667,3,0,2,1,1,12,0,"real",0,0
"213",1113108,1736,17,3,22,2.3333333333,11,16.6233333333,6,0,1,0,1,12,0.0833333333,"real",-0.3,0.6
"214",428743,852,14,5,20,2.8181818182,10,21.9545454545,5,0,1,0,1,11,0,"real",0.5,0.5
"215",12616790,61,63,22,43,2.1666666667,17,16.9966666667,9,0,1,0,1,18,0.1666666667,"real",-0.075,0.45
"216",1113108,1736,13,2,15,2.0588235294,15,15.3341176471,6,0,1,0,2,17,0.1176470588,"real",0,0
"217",12616790,61,345,87,40,1.75,23,14.42,6,0,1,0,1,24,0,"real",0,0
"218",210973,263,18,15,19,1.8571428571,6,9.0542857143,2,0,1,1,1,7,0,"real",0.0625,0.5
"219",4265003,518,85,16,31,2.25,19,18.76,7,0,1,0,1,20,0,"real",0.7,0.9
"220",7041608,4594,208,78,23,2.6315789474,18,22.8726315789,8,0,1,0,1,19,0.1578947368,"real",-0.0625,0.3125
"221",831684,176,23,2,26,2.0952380952,20,17.3238095238,6,0,1,0,1,21,0.0476190476,"real",0.2,0.2
"222",1113108,1736,14,1,33,1.9,10,10.73,1,0,2,1,1,20,0.1,"real",0,0
"223",26341734,71,609,479,50,2,9,11.91,3,0,1,0,1,10,0.1,"real",-0.4,0.9
"224",12616790,61,44,12,38,2.5789473684,18,22.2515789474,8,0,1,0,1,19,0.0526315789,"real",0.216666666666667,0.616666666666667
"225",7041608,4594,59,19,32,2.75,15,23.1,8,0,1,0,1,16,125,"real",0,0
"226",428743,852,11,1,21,2,18,15.42,9,0,1,0,1,19,0.0526315789,"real",0.35,0.55
"227",4265003,518,58,18,47,2.3333333333,4,13.6983333333,3,0,2,2,1,9,0.2222222222,"real",0,0
"228",7041608,4594,115,21,37,2.15,19,17.58,8,0,1,0,1,20,0.15,"real",0.216666666666667,0.416666666666667
"229",831684,176,21,5,37,2.8,20,25.25,11,0,1,0,0,20,0.15,"real",0.216666666666667,0.416666666666667
"230",831684,176,38,7,47,1.8947368421,18,14.1778947368,10,0,1,0,1,19,0.0526315789,"real",0,0.1
"231",210973,263,8,6,17,2.2,9,14.27,3,0,1,0,1,10,0.1,"real",0.125,0.166666666666667
"232",1113108,1736,18,10,50,1.8421052632,9,9.8518421053,5,0,2,1,1,19,0.1052631579,"real",-0.4,0.55
